Context,Source,Subclause,Image Path,Image Caption
"Figure 7.2.2.4.1-1: Transport of PCAP messages via signalling connection over Iuh and Iupc connections – HNB initiated.
If the Source HNB wants to send a PCAP message to the SAS for which a connection oriented data transfer service is already established for a location session, it issues a PUA:DIRECT TRANSFER message towards the HNB-GW which contains the PUA Context Id and the PCAP PDU.
The HNB-GW will forward the PCAP PDU to the SAS within an SCCP message.",TS 25.467,7.2.2.4.1,/data/all_images/image_20.jpeg,Transport of PCAP messages via signalling connection over Iuh and Iupc
"Figure 7.2.2.4.1-1: Transport of PCAP messages via signalling connection over Iuh and Iupc connections – HNB initiated.
If the Source HNB wants to send a PCAP message to the SAS for which a connection oriented data transfer service is already established for a location session, it issues a PUA:DIRECT TRANSFER message towards the HNB-GW which contains the PUA Context Id and the PCAP PDU.
The HNB-GW will forward the PCAP PDU to the SAS within an SCCP message.",TS 25.467,7.2.2.4.1,/data/all_images/image_21.jpeg,Transport of PCAP messages via signalling connection over Iuh and Iupc
"Figure 7.2.2.5-1: Release of established signalling connection over Iupc and Iuh connections – HNB initiated.
If an HNB wants to release a signalling connection previously established over Iupc and Iuh connections towards a SAS, it sends a PUA:DISCONNECT message, which includes the PUA Context Id and may include a PCAP PDU. The HNB-GW maps the PUA:DISCONNECT message to an SCCP:Release message and triggers the SCCP connection release procedure defined in TS 25.450 [37] for the coresponding SCPP connection.",TS 25.467,7.2.2.5,/data/all_images/image_22.png,Release of established signalling connection over Iupc and Iuh connections – HNB
"Figure 7.2.2.5-1: Release of established signalling connection over Iupc and Iuh connections – HNB initiated.
If an HNB wants to release a signalling connection previously established over Iupc and Iuh connections towards a SAS, it sends a PUA:DISCONNECT message, which includes the PUA Context Id and may include a PCAP PDU. The HNB-GW maps the PUA:DISCONNECT message to an SCCP:Release message and triggers the SCCP connection release procedure defined in TS 25.450 [37] for the coresponding SCPP connection.",TS 25.467,7.2.2.5,/data/all_images/image_23.jpeg,Release of established signalling connection over Iupc and Iuh connections – HNB
"Figure 7.2.2.6.2-1: Connectionless data transfer over Iupc and Iuh connections – SAS initiated.
If the SAS sends a PCAP PDU to the HNB-GW for the Receiving HNB, the HNB-GW has to be able to route the message to the correct HNB. The HNB-GW uses the PCAP transaction ID to determine the correct destination HNB.  Then the HNB-GW issues a PUA:CONNECTIONLESS TRANSFER message containing the PCAP PDU.",TS 25.467,7.2.2.6.2,/data/all_images/image_24.jpeg,Connectionless data transfer over Iupc and Iuh connections – SAS initiated.
"Figure 7.3-1 shows the protocol structure for Iurh, following the structure described in TS 25.401 [4].
Figure 7.3-1: Iurh–Interface Protocol Stack.
NOTE 1:	RTCP is optional
NOTE 2:	as specified in TS 25.425 [21] and TS 25.427 [22]
NOTE 3:	as specified in TS 25.415 [17]",TS 25.467,7.3,/data/all_images/image_25.png,Iurh–Interface Protocol Stack.
"Figure 7.3.2.2.1-1: Signalling Connection Establishment – Direct Iurh-connectivity.
If the Sending HNB wants to send an RNSAP message to the Receiving HNB for which a dedicated Iurh signalling connection has to be established, it issues an RNA:CONNECT message containing the Iurh Context Id, the RNSAP PDU, the Senders HNB RNL Identity and the Receivers HNB RNL Identity. The Reception of the RNA:CONNECT message at the Receiving HNB completes the signalling connection establishment.",TS 25.467,7.3.2.2.1,/data/all_images/image_26.jpeg,Signalling Connection Establishment – Direct Iurh-connectivity.
"Figure 7.3.3.2.1-1: Establishment of signalling connection over Iurh and Iur connections between HNB and RNC via HNB-GW – HNB Initiated.
1.	If the Source HNB is configured for Iurh-connectivity via the HNB-GW, and wants to send an RNSAP message to the Target RNC for which signalling connection over Iurh and Iur connections has to be established, it issues an RNA:CONNECT message containing the Iurh Context Id, the RNSAP PDU1, the Source HNB RNL Identity and the Target RNC RNL Identity.
2.	The HNB-GW identifies the signalling interface to which the RNA message shall be routed by the Target RNC’s RNL Identity as received from the Source HNB and maintains a mapping between the RNA-based signalling connection and the SCCP-based signalling connection for the HNB-RNC end-to-end.
3.	The HNB-GW sends RNSAP PDU1 to the Target RNC and the Target RNC sends back RNSAP PDU2 (see TS 25.420 [31] subclause 4.5.1.3).
4.	The HNB-GW routes the RNSAP PDU2 towards the Source HNB.
5.	The HNB-GW sends an RNA:Direct Transfer message, including RNSAP PDU2 received from the Target RNC.",TS 25.467,7.3.3.2.1,/data/all_images/image_27.png,Establishment of signalling connection over Iurh and Iur connections between
"Figure 7.3.3.2.2-1: Establishment of signalling connection over Iurh and Iur connections between HNB and RNC via HNB-GW – HNB Initiated with refusal from RNC.
1.	If the Source HNB is configured for Iurh-connectivity via the HNB-GW, and wants to send an RNSAP message to the Target RNC, it issues an RNA:CONNECT message containing the Iurh Context Id, the RNSAP PDU1, the Source HNB RNL Identity and the Target RNC RNL Identity.
2.	The HNB-GW identifies the signalling interface to which the RNA message shall be routed by the Target RNC’s RNL Identity as received from the Source HNB and maintains a mapping between the RNA-based signalling connection and the SCCP-based signalling connection for the HNB-RNC end-to-end communication.
3.	The HNB-GW sends RNSAP PDU1 to the Target RNC as received from the HNB via SCCP:Connection Request and the Target RNC refuses the connection request (see TS 25.420 [31] subclause 4.5.1.3).
4.	The HNB-GW maps the SCCP:CREF message into an RNA:DISCONNECT.
5.	The HNB-GW sends an RNA:DISCONNECT message, including the optional RNSAP PDU2 if received from the Target RNC.",TS 25.467,7.3.3.2.2,/data/all_images/image_28.png,Establishment of signalling connection over Iurh and Iur connections between
"Figure 7.3.3.2.3-1: Establishment of signalling connection over Iurh and Iur connections between HNB and RNC via HNB-GW – RNC Initiated.
1.	The HNB-GW is seen by Source RNC as a (configured) neighbour RNC. Any signalling towards a target cell with a respective RNC-Id-prefix is sent to the HNB-GW. In this case the RNC triggers the SCCP connection establishment as described in TS 25.420 [31] subclause 4.5.1.3.
2.	The HNB-GW has to be able (i) to extract the Target HNB RNL Id from the (Global) Cell-Id indicated in the initiating RNSAP PDU and (ii) to maintain a mapping between the SCCP-based signalling connection and the RNA-based signalling connection for the HNB-RNC end-to-end communication.
3.	The HNB-GW sends an RNA:CONNECT message towards the appropriate HNB including the Iurh Context Id generated at Step 2, RNSAP PDU1 received from the RNC and the Global Ids of RNC and HNB.
4-7. At the reception of the RNA:CONNECT message, the Target HNB processes RNSAP PDU1, generates the response RNSAP PDU2. The HNB replies then with an RNA:Direct Transfer message including the new RNSAP PDU2 and the RNC and HNB Ids. The HNB-GW will forward such pieces of information to the RNC (TS 25.420 [31] subclause 4.5.1.3).",TS 25.467,7.3.3.2.3,/data/all_images/image_29.jpeg,Establishment of signalling connection over Iurh and Iur connections between
"Figure 7.3.3.3.1-1: Transport of RNSAP messages via signalling connection over Iurh and Iur connections – HNB initiated.
If the Sending HNB wants to send an RNSAP message to the Receiving RNC for which a connection oriented data transfer service is already established, it issues an RNA:DIRECT TRANSFER message towards the HNB-GW which contains the Iurh Context Id, the RNSAP PDU and the Receivers HNB RNL Identity.
The HNB-GW will forward the RNSAP PDU to the Receiving RNC within an SCCP message.",TS 25.467,7.3.3.3.1,/data/all_images/image_30.jpeg,Transport of RNSAP messages via signalling connection over Iurh and Iur
"Figure 7.3.3.3.1-1: Transport of RNSAP messages via signalling connection over Iurh and Iur connections – HNB initiated.
If the Sending HNB wants to send an RNSAP message to the Receiving RNC for which a connection oriented data transfer service is already established, it issues an RNA:DIRECT TRANSFER message towards the HNB-GW which contains the Iurh Context Id, the RNSAP PDU and the Receivers HNB RNL Identity.
The HNB-GW will forward the RNSAP PDU to the Receiving RNC within an SCCP message.",TS 25.467,7.3.3.3.1,/data/all_images/image_31.jpeg,Transport of RNSAP messages via signalling connection over Iurh and Iur
"Figure 7.3.3.4.1-1: Release of established signalling connection over Iurh and Iur connections – HNB initiated.
If an HNB wants to release a signalling connection previously established over Iurh and Iur connections previously established towards an RNC, it sends an RNA:DISCONNECT message, which includes the Iurh Context Id and the Receivers HNB RNL Identity (i.e., the Global RNC Id) and may include an RNSAP PDU. The HNB-GW maps the RNA:DISCONNECT message to an SCCP:Released message and triggers the SCCP connection release procedure defined in TS 25.420 [31] subclause 4.5.1.4.",TS 25.467,7.3.3.4.1,/data/all_images/image_32.jpeg,Release of established signalling connection over Iurh and Iur connections – HNB
"Figure 7.3.3.4.1-1: Release of established signalling connection over Iurh and Iur connections – HNB initiated.
If an HNB wants to release a signalling connection previously established over Iurh and Iur connections previously established towards an RNC, it sends an RNA:DISCONNECT message, which includes the Iurh Context Id and the Receivers HNB RNL Identity (i.e., the Global RNC Id) and may include an RNSAP PDU. The HNB-GW maps the RNA:DISCONNECT message to an SCCP:Released message and triggers the SCCP connection release procedure defined in TS 25.420 [31] subclause 4.5.1.4.",TS 25.467,7.3.3.4.1,/data/all_images/image_33.jpeg,Release of established signalling connection over Iurh and Iur connections – HNB
"Figure 7.3.3.5.1-1: Connectionless data transfer over Iurh and Iur connections – HNB initiated.
If the Sending HNB wants to send in a connectionless manner an RNSAP PDU to the HNB-GW for the Receiving RNC, it issues an RNA:CONNECTIONLESS TRANSFER message containing the RNSAP PDU, the Senders and the Receivers HNB RNL Identities.
The HNB-GW then generates and routes the RNSAP PDU within an SCCP message towards the Receiving RNC.",TS 25.467,7.3.3.5.1,/data/all_images/image_34.jpeg,Connectionless data transfer over Iurh and Iur connections – HNB initiated.
"Figure 7.3.3.5.1-1: Connectionless data transfer over Iurh and Iur connections – HNB initiated.
If the Sending HNB wants to send in a connectionless manner an RNSAP PDU to the HNB-GW for the Receiving RNC, it issues an RNA:CONNECTIONLESS TRANSFER message containing the RNSAP PDU, the Senders and the Receivers HNB RNL Identities.
The HNB-GW then generates and routes the RNSAP PDU within an SCCP message towards the Receiving RNC.",TS 25.467,7.3.3.5.1,/data/all_images/image_35.jpeg,Connectionless data transfer over Iurh and Iur connections – HNB initiated.
"The performance of using dynamic control of the receiver gain or UL attenuation can be obtained using the following analysis setup. The general set up for the uplink analysis is given in Figure 7.3.3.1-1. The cell edge case is considered first, where a HNB is deployed at the edge of a macro cell and it has an active HUE associated with it. There is also a MUE which is located close to the HNB. The HNB, HUE and the MUE are assumed to have 140dB PL with the MNB (X=140dB). The HUE and the MUE are assumed to be separated from the HNB by Y and Z dB PL, respectively.
Figure 7.3.3.1-1: UL Interference Analysis Setup
The PL values of interest (i.e., Y and Z) depend on the HNB coverage determined by the tx power chosen. Three deployment scenarios are considered: a) HNB with 70dB coverage radius, b) HNB with 80dB coverage radius, and c) HNB with 90dB coverage radius. Both cell edge and cell site scenarios are analyzed. The performance analysis for the cell edge and cell site scenarios demonstrate the need for an adaptive algorithm that adjusts the UL attenuation / padding based on the out-of-cell interference experienced at the HNB.",TR 25.967,7.3.3.1,/data/all_images/image_36.jpeg,UL cell edge scenario: noise rise contribution of non-associated UEs
"The performance of using dynamic control of the receiver gain or UL attenuation can be obtained using the following analysis setup. The general set up for the uplink analysis is given in Figure 7.3.3.1-1. The cell edge case is considered first, where a HNB is deployed at the edge of a macro cell and it has an active HUE associated with it. There is also a MUE which is located close to the HNB. The HNB, HUE and the MUE are assumed to have 140dB PL with the MNB (X=140dB). The HUE and the MUE are assumed to be separated from the HNB by Y and Z dB PL, respectively.
Figure 7.3.3.1-1: UL Interference Analysis Setup
The PL values of interest (i.e., Y and Z) depend on the HNB coverage determined by the tx power chosen. Three deployment scenarios are considered: a) HNB with 70dB coverage radius, b) HNB with 80dB coverage radius, and c) HNB with 90dB coverage radius. Both cell edge and cell site scenarios are analyzed. The performance analysis for the cell edge and cell site scenarios demonstrate the need for an adaptive algorithm that adjusts the UL attenuation / padding based on the out-of-cell interference experienced at the HNB.",TR 25.967,7.3.3.1,/data/all_images/image_37.jpeg,UL cell edge scenario: Ec/No at serving NB
"The performance of using dynamic control of the receiver gain or UL attenuation can be obtained using the following analysis setup. The general set up for the uplink analysis is given in Figure 7.3.3.1-1. The cell edge case is considered first, where a HNB is deployed at the edge of a macro cell and it has an active HUE associated with it. There is also a MUE which is located close to the HNB. The HNB, HUE and the MUE are assumed to have 140dB PL with the MNB (X=140dB). The HUE and the MUE are assumed to be separated from the HNB by Y and Z dB PL, respectively.
Figure 7.3.3.1-1: UL Interference Analysis Setup
The PL values of interest (i.e., Y and Z) depend on the HNB coverage determined by the tx power chosen. Three deployment scenarios are considered: a) HNB with 70dB coverage radius, b) HNB with 80dB coverage radius, and c) HNB with 90dB coverage radius. Both cell edge and cell site scenarios are analyzed. The performance analysis for the cell edge and cell site scenarios demonstrate the need for an adaptive algorithm that adjusts the UL attenuation / padding based on the out-of-cell interference experienced at the HNB.",TR 25.967,7.3.3.1,/data/all_images/image_38.jpeg,UL cell site scenario: noise rise contribution of non-associated UEs
"The performance of using dynamic control of the receiver gain or UL attenuation can be obtained using the following analysis setup. The general set up for the uplink analysis is given in Figure 7.3.3.1-1. The cell edge case is considered first, where a HNB is deployed at the edge of a macro cell and it has an active HUE associated with it. There is also a MUE which is located close to the HNB. The HNB, HUE and the MUE are assumed to have 140dB PL with the MNB (X=140dB). The HUE and the MUE are assumed to be separated from the HNB by Y and Z dB PL, respectively.
Figure 7.3.3.1-1: UL Interference Analysis Setup
The PL values of interest (i.e., Y and Z) depend on the HNB coverage determined by the tx power chosen. Three deployment scenarios are considered: a) HNB with 70dB coverage radius, b) HNB with 80dB coverage radius, and c) HNB with 90dB coverage radius. Both cell edge and cell site scenarios are analyzed. The performance analysis for the cell edge and cell site scenarios demonstrate the need for an adaptive algorithm that adjusts the UL attenuation / padding based on the out-of-cell interference experienced at the HNB.",TR 25.967,7.3.3.1,/data/all_images/image_39.jpeg,UL cell site scenario: Ec/No at serving NB
"Figure 4.1-1: Interaction between RNC and O&M due to ANR
The ANR function resides in the RNC and is composed of the Neighbour Relation Table (NRT) Management Function, Neighbour Detection Function and Neighbour Removal Function.
The Neighbour Detection Function detects new neighbours and adds them to the NRT. The Neighbour Removal Function removes outdated NRs.
A Neighbour cell Relation (NR) between a Base UTRAN Cell and a Neighbour Cell exists if the RNC controlling the Base UTRAN Cell:
a)	Knows the following Neighbour Cell information:
-	Neighbour cell is in UTRAN: PLMN-Id, Cell Identifier(C-ID), RNC-ID/Extended RNC-ID,
-	Neighbour cell is in LTE: ECGI (PLMN Id + Cell Identity)
-	Neighbour cell is in GSM/GERAN: PLMN Id, LAC, CI, BSIC
b)	Has an entry in the Neighbour Relation Table for the Base UTRAN Cell identifying the neighbour cell.
c)	Has all required attributes defined in the Neighbour Relation Table entry or set to default values. Among these attributes are the frequency information (UARFCN, BCCH ARFCN, EARFCN) and handover routing parameters not already considered in (a):
-	Neighbour cell is in UTRAN: LAC and RAC
-	Neighbour cell is in LTE: TAI
For each NR, the NRT contains the Neighbour Cell Identifier (NCI), which identifies the neighbour cells. A neighbour cell may be a UTRAN, LTE or GSM cell. Furthermore, each NR has two attributes, the No Remove and the No HO attributes. These attributes have the following definitions:
-	No Remove: If checked, the RNC shall not remove the Neighbour cell Relation from the NRT.
-	No HO: If checked, the Neighbour cell Relation shall not be used as a neighbour cell by Intra RNS, Inter RNS or Inter RAT mobility functions in UTRAN.
The ANR function also allows O&M to manage the NRT. O&M can add and delete NRs. It can also change the attributes of the NR. The O&M system is informed about changes in the NRT.",TS 25.484,4.1,/data/all_images/image_40.png,Interaction between RNC and O&M due to ANR
"ANR logging is configured with Logged Measurements Configuration procedure, as shown in Figure 5.3-1.
Figure 5.3-1: ANR Logging configuration with Logging measurement configuration message
UTRAN initiates the ANR logging procedure to UE by sending ANR logging configuration in the Logging measurement configuration message as defined in TS 25.331.",TS 25.484,5.3,/data/all_images/image_41.jpeg,ANR Logging configuration with Logging measurement configuration message
"Figure 3.3.7-1 illustrates an example setup of a TE-TA-ME system for SMS. Location of volatile and non-volatile parameter memories, and the operations to change the parameter values are shown. +CSMP is used to set the text mode header values of SMS-SUBMIT (or SMS-DELIVER when received message is written from TE to a storage). The volatile memory may as well be in the ME, or when no volatile memory is used, +CSMP, +CSCA and +CSCB settings are stored directly to non-volatile memory of ME.
Figure 3.3.7-1: Message service parameter procedures
In this example, the volatile parameter settings of TA are used to construct messages in text mode. SMSC address setting is used also in PDU mode. The next example illustrates a session to restore the message parameters from the ME to the TA, and to set up the CBM identifiers (and languages) which are wanted to be received:
AT+CRES			(restore settings from non-volatile memory to volatile memory)
OK
AT+CSMP?;+CSCA?		(query SM parameters)
+CSMP: 17,167,0,0		(default values for SMS-SUBMIT)
+CSCA: ""+358501234567"",145	(SMSC address)
OK
AT+CSDH=1			(show all headers in text mode)
OK
AT+CSCB=1			(all CBMs are accepted)
OK",TS 27.005,3.3.7,/data/all_images/image_42.jpeg,Message service parameter procedures
"Message forwarding is done as illustrated in figure 3.4.5-1. Optional +CNMA acknowledgement procedure is not presented. In this example, there is no TA memory for messages and result code buffer is situated in TA. The routing of message waiting indication group (discard message) SMS-DELIVERs equal to class 0 messages, and the routing of message waiting indication group (store message) SMS-DELIVERs equal to class 2 messages.
Figure 3.4.5-1: Message receiving procedures
Setting new message indications:
AT+CNMI=?		(query new message unsolicited result code modes)
+CNMI: (0-2),(0-3),(0-3),(0,1),(0,1)
OK
AT+CNMI=2,1,0,1,0	(send SM and status report indications to TE when TA in command mode, otherwise buffer)
OK
In this example, the TA is set so that it should send an unsolicited result code +CMTI: <mem>,<index> to the TE when a new SMS-DELIVER is received from the network and stored successfully to storage <mem>, and an unsolicited result code +CDS:... when a SMS-STATUS-REPORT is received. These result codes are routed to the TE when TA is in command mode, but buffered when in on-line data mode. Now, if new SM is received, it can be read as follows (text mode with no detailed header information; GSM 7 bit default alphabet used in message body):
+CMTI: ""ME"",2	(new message received in index 2)
AT+CMGR=2		(read the message)
+CMGR: ""REC UNREAD"",""+358507654321"",""Mr. Jones"",""95/07/03,17:38:15+04""
This is the Mr. Jones testing
OK
In the next example all messages of storage <mem1> are listed (text mode with no detailed header information; GSM 7 bit default alphabet used in message bodies):
AT+CMGL=""ALL""	(read all SMs)
+CMGL: 1,""REC READ"",""+358501234567"",""Mr. Smith"",""95/07/03,17:45:03+04""
This is the body of the message.
+CMGL: 2,""STO UNSENT"",""+358501234567"",""Mr. Smith"",
This is the body of the reply.
OK
The next example shows a method to read new CBMs received from the network (text mode; GSM 7 bit default alphabet used in message bodies):
AT+CNMI=2,,2,,0			(CBMs will be sent to the TE)
OK
AT+CPMS=""BM"";+CMGL			(select CBM memory for reading; list all unread CBMs)
+CMGL: 1,""REC UNREAD"",100,40,1,3	(first page of three page weather information)
Weather in  3rd of July 1995
+CMGL: 2,""REC UNREAD"",100,40,2,3	(second page of three page weather information)
: cloudy, snow storms, -20 degrees Celsius, wind -14 m/s NE
+CMGL: 3,""REC UNREAD"",100,40,3,3	(third page of three page weather information)
: sunny, 40 degrees Celsius, wind 1 m/s SW
OK",TS 27.005,3.4.5,/data/all_images/image_43.jpeg,Message receiving procedures
"Figure 3.5.7-1 is an example of a TE-TA-ME setup when messages are sent to network or stored to ME. The volatile memory may as well be in the ME, or a non-volatile memory may be used instead when constructing messages.
Figure 3.5.7-1: Message service send and write procedures
An example of sending a GSM 7 bit default alphabet message in text mode and a SMS-STATUS-REPORT is wanted:
AT+CNMI?			(check that status reports are routed to TE)
+CNMI: 2,1,0,1,0
OK
AT+CSMP=49,167,0,0		(status report wanted; otherwise default settings)
OK
AT+CMGS=""+358501234567""	(start editing a message)
> This the first line.	(edit first line and press carriage return)
> This is the last line.^Z	(edit second line and send message by pressing control-Z)
+CMGS: 10			(success: message reference 10 returned from SMSC)
OK
+CDS: 2,10,""+358501234567"",145,""95/07/04/13:12:14+04"",
""95/07/04/13:12:20+04"",0	(status report of successful message delivery received)
Storing an unsent message in memory, sending it from there, and deleting it:
AT+CPMS?			(check memory settings)
+CPMS: ""ME"",4,10,""ME"",4,10,""ME"",4,10
OK
AT+CMGW=""9501231234""	(write message)
> This is the message body^Z
+CMGW: 7			(index number in storage returned)
OK
AT+CMSS=7			(send from storage)
+CMSS: 12			(success: reference value 12 sent from SC)
OK
AT+CMGD=7			(delete message)
OK",TS 27.005,3.5.7,/data/all_images/image_44.jpeg,Message service send and write procedures
"If a UICC connected to an MT uses USIM Application Toolkit (USAT), some USAT features can be provided by the MT itself, whereas other features can be implemented in the TE. This applies especially to MTs with limited capabilities, where the user interface could be provided by the TE.
If there are multiple entities inside the TE providing USAT services, for the purpose of this specification, the TE is visible as one entity handling AT commands and responses on the interface to the TA/MT, see figure 12.1-1.
Figure 12.1-1: Overview of the interfaces between TE, TA/MT and UICC for USAT
The AT commands for definition of the USAT profiles and transmission of USAT proactive commands, USAT terminal responses and USAT envelope commands between the TE and UICC are specified in the subsequent clauses.
Compared to APDUs, where the MT is the initiator, USAT defines logic where the UICC is the initiator of the USAT proactive commands and the MT sends responses to these commands. Due to that, USAT proactive commands are sent in unsolicited result codes, whereas the associated responses are transported in subsequent AT commands.",TS 27.007,12.1,/data/all_images/image_45.png,"Overview of the interfaces between TE, TA/MT and UICC for USAT"
"13.000 Containers are on a ship and later on on the dock of the container terminal. In each container, the UE collects the data from both embedded sensors and remote sensors and aggregates it in packets to be forwarded.
On a cargo vessel, one of the main challenges is that the containers are stocked together in large populations concentrated in limited spaces in very high density and arranged in stacks and about half of the containers are stowed under-deck where the space available for the propagation of the signals is significantly reduced. In addition, during the navigation the ship hold is isolated by a steel hatch cover which strongly limits the propagation of signals inwards and outwards. Moreover, harsh weather conditions can also degrade the performances of radio communications. Therefore, the communication is reduced and not all containers are able to communicate with the cellular network. Overall, the position of a container will vary from travel to travel. In one travel it will be in bad condition to be able to communicate while the next travel it could be in a better situation.
Furthermore, when the ship arrives to port, these containers plus the one already in the port will compete for the same radio frequencies creating a non-desirable temporary overload. Therefore, it is more appropriate to adopt efficient strategies to manage and distribute the traffic load in this context.
To avoid this situation and to be able to communicate their data, the UE of the containers which cannot connect directly to the network are identifying and using others containers’ UE which are better situated as relays thought with single hop or multi-hops to communicate their data depending on their battery usage.
An UE can be identified by several UEs as being able to communicate with the WAN (terrestrial or satellite) and to ultimately route their data. This chain of relays and group of UEs is forming a dynamic and temporary “virtual cluster” where the UE in charge of relaying the data of the other UEs becomes the head of this cluster. In an area with many containers, several virtual clusters can be formed and only the head of the cluster is communicating with the WAN as illustrated by Figure 5.2.3-1 and Figure 5.2.3-3. All UEs are able to be used as relay. UEs can “join” this virtual cluster as long as they are given permission. They can also “leave” the cluster when selecting another UE to route their data.
Figure 5.2.3-1: Communication clusters between containers
In a typical case and as average, a chain of relays is likely to be formed of 2 to 3 hops but in case of very dense area of containers stacked combined with very harsh environment, a chain of 9 hops is foreseen as to be the upper maximum to be supported.
To be able to identify the UE relaying the data and to create these virtual clusters, all UE needs to be able to listen the other UEs in a very low power mode. To be viable, the listening mode should not exceed more than 1% per year of the initial battery capacity of the UE. Typically for a 3,6 V battery with a nominal capacity of 12 Ah, it will represent less than 50 µJ / second.  This should be considered as the maximum usage to be able to have business model viable for the industry.
The UE in charge of the virtual cluster aggregates all data from its members and sends it.
By doing such a scheme, the battery of each UE is optimized at maximum.
In the case of a gateway is present (either on a ship or in shore in the port/terminal), the gateway is in charge of the cluster and is the ultimate relay to the 5G WAN access network as illustrated by Figure 5.2.3-2.
A cluster formed only by UEs shall be limited in term of capacity to remain efficient. It is foreseen that such cluster should be formed of maximum 4.000 UEs while a cluster managed by a gateway shall be able to support as much as 50.000 UEs.
Figure 5.2.3-2: Communications between containers in a ship
All the communications need to be secured and only UE of containers that are allowed to communicate between them and gateways recognised can be used in a cluster and as relay.
Figure 5.2.3-3: Different communication clusters of containers in a container terminal",TR 22.866,5.2.3,/data/all_images/image_46.jpeg,Communication clusters between containers
"13.000 Containers are on a ship and later on on the dock of the container terminal. In each container, the UE collects the data from both embedded sensors and remote sensors and aggregates it in packets to be forwarded.
On a cargo vessel, one of the main challenges is that the containers are stocked together in large populations concentrated in limited spaces in very high density and arranged in stacks and about half of the containers are stowed under-deck where the space available for the propagation of the signals is significantly reduced. In addition, during the navigation the ship hold is isolated by a steel hatch cover which strongly limits the propagation of signals inwards and outwards. Moreover, harsh weather conditions can also degrade the performances of radio communications. Therefore, the communication is reduced and not all containers are able to communicate with the cellular network. Overall, the position of a container will vary from travel to travel. In one travel it will be in bad condition to be able to communicate while the next travel it could be in a better situation.
Furthermore, when the ship arrives to port, these containers plus the one already in the port will compete for the same radio frequencies creating a non-desirable temporary overload. Therefore, it is more appropriate to adopt efficient strategies to manage and distribute the traffic load in this context.
To avoid this situation and to be able to communicate their data, the UE of the containers which cannot connect directly to the network are identifying and using others containers’ UE which are better situated as relays thought with single hop or multi-hops to communicate their data depending on their battery usage.
An UE can be identified by several UEs as being able to communicate with the WAN (terrestrial or satellite) and to ultimately route their data. This chain of relays and group of UEs is forming a dynamic and temporary “virtual cluster” where the UE in charge of relaying the data of the other UEs becomes the head of this cluster. In an area with many containers, several virtual clusters can be formed and only the head of the cluster is communicating with the WAN as illustrated by Figure 5.2.3-1 and Figure 5.2.3-3. All UEs are able to be used as relay. UEs can “join” this virtual cluster as long as they are given permission. They can also “leave” the cluster when selecting another UE to route their data.
Figure 5.2.3-1: Communication clusters between containers
In a typical case and as average, a chain of relays is likely to be formed of 2 to 3 hops but in case of very dense area of containers stacked combined with very harsh environment, a chain of 9 hops is foreseen as to be the upper maximum to be supported.
To be able to identify the UE relaying the data and to create these virtual clusters, all UE needs to be able to listen the other UEs in a very low power mode. To be viable, the listening mode should not exceed more than 1% per year of the initial battery capacity of the UE. Typically for a 3,6 V battery with a nominal capacity of 12 Ah, it will represent less than 50 µJ / second.  This should be considered as the maximum usage to be able to have business model viable for the industry.
The UE in charge of the virtual cluster aggregates all data from its members and sends it.
By doing such a scheme, the battery of each UE is optimized at maximum.
In the case of a gateway is present (either on a ship or in shore in the port/terminal), the gateway is in charge of the cluster and is the ultimate relay to the 5G WAN access network as illustrated by Figure 5.2.3-2.
A cluster formed only by UEs shall be limited in term of capacity to remain efficient. It is foreseen that such cluster should be formed of maximum 4.000 UEs while a cluster managed by a gateway shall be able to support as much as 50.000 UEs.
Figure 5.2.3-2: Communications between containers in a ship
All the communications need to be secured and only UE of containers that are allowed to communicate between them and gateways recognised can be used in a cluster and as relay.
Figure 5.2.3-3: Different communication clusters of containers in a container terminal",TR 22.866,5.2.3,/data/all_images/image_47.png,Communications between containers in a ship
